hospital_name,address,negeri,latitude,longitude
Hospital Tawau,"Peti Surat 67, 91000 Tawau, Sabah",Sabah,4.249631,117.8802136
Hospital Tenom,"Peti Surat 97, 89907 Tenom, Sabah",Sabah,5.1233051,115.9412663
Hospital Tuaran,"Peti Surat 996, 89207 Tuaran, Sabah",Sabah,6.1422673,116.2198066
Hospital Wanita dan Kanak-Kanak,"Karung Berkunci 187, 88996 Kota Kinabalu, Sabah",Sabah,6.0140485,116.1195617
Hospital Bau,"Batu 1½, Jalan Bau-Lundu, 94000 Bau, Sarawak",Sarawak,1.4310914,110.1418508
Hospital Betong,"Jalan Betong, 95707 Betong, Sarawak",Sarawak,1.3748754,111.5745689
Hospital Bintulu,"Jalan Nyabau, 97000 Bintulu, Sarawak",Sarawak,3.230022,113.100403
Hospital Dalat,"Jalan Oya-Dalat, 96300 Dalat, Sarawak",Sarawak,2.7444175,111.94648
Hospital Daro,"Jalan Itol, 96200 Daro, Sarawak",Sarawak,2.5227091,111.4139744
Hospital Kanowit,"Jalan Kanowit/Durin, 96700 Kanowit, Sarawak",Sarawak,2.1031159,112.1519602
Hospital Kapit,"Jalan Memora, 96800 Kapit, Sarawak",Sarawak,2.0138272,112.9426987
Hospital Lawas,"Jalan Hospital, 98850 Lawas, Sarawak",Sarawak,4.853802,115.4041023
Hospital Limbang,"Jalan Pandaruan, 98700 Limbang, Sarawak",Sarawak,4.765664,115.019112
Hospital Lundu,"Jalan Sekambal, 94500 Lundu, Sarawak",Sarawak,1.6743129,109.85266
Hospital Marudi,"Jalan Bungor, 98050 Marudi, Sarawak",Sarawak,4.1783875,114.3258603
Hospital Miri,"Jalan Cahaya, 98000 Miri, Sarawak",Sarawak,4.3748866,114.0008538
Hospital Mukah,"Jalan Haji Mohamed Pauzi, 96400 Mukah, Sarawak",Sarawak,2.9022433,112.0773264
Hospital Rajah Charles Brooke Memorial,"Batu 13, Jalan Puncak Borneo, Kota Padawan, 93250 Kuching, Sarawak",Sarawak,,
Hospital Saratok,"KM 1, Jalan Saratok, 95400 Saratok, Sarawak",Sarawak,1.7477089,111.3404994
Hospital Sarikei,"Jalan Rentap, 96100 Sarikei, Sarawak",Sarawak,2.1333127,111.4933062
Hospital Sentosa,"Kota Sentosa, Batu 7 Jalan Penrissen, 93250 Kuching, Sarawak",Sarawak,1.4640562,110.3292597
Hospital Serian,"94700 Serian, Sarawak",Sarawak,1.1754279,110.5630877
Hospital Sibu,"Batu 5½, Jalan Ulu Oya, 96000 Sibu, Sarawak",Sarawak,2.296213,111.8917523
Hospital Simunjan,"Jalan Gunung Ngeli, 94800 Simunjan, Sarawak",Sarawak,1.3695436,110.7858804
Hospital Sri Aman,"Jalan Hospital, 95007 Sri Aman, Sarawak",Sarawak,1.2339667,111.462336
Hospital Umum Sarawak,"Jalan Hospital, 93586 Kuching, Sarawak",Sarawak,1.5430052,110.3396604
Hospital Ampang,"Jalan Mewah Utara, 68000 Hulu Langat, Selangor",Selangor,3.12811,101.7639498
